headliner,support,year,date,time,ticket_price,
BLISS w/ Pat Lok and Will Eastman,Man & Woman,2014,Saturday May 24,10:00 PM,"			 $10.00       ",
TEEN (CANCELLED),The Sea Life,2014,Saturday May 24,Doors: 7:00 pm / Show: 7:00 pm ,"			 $15       ",
Daniel Avery and Jackmaster,Pentamon,2014,Friday May 23,10:00 PM,"			 $10.00       ",
Moosh & Twist,"with Special Guest Jared Evan, Ryan Oakes",2014,Friday May 23,Doors: 7:00 pm / Show: 7:00 pm ,"			 $15       ",
Just Blaze,"Alex Young, Mista Selecta",2014,Thursday May 22,10:00 PM,"			 $10.00       ",
Wolf Gang,Typefighter,2014,Thursday May 22,Doors: 7:00 pm / Show: 7:00 pm ,"			 $15       ",
Simian Mobile Disco (DJ Set),"JDH & Dave P (FIXED), Chris Nitti",2014,Wednesday May 21,9:00 PM,"			 $10.00       ",
MÃ˜,Erik Hassle,2014,Tuesday May 20,Doors: 7:00 pm / Show: 7:00 pm ,"			 $15       ",
Psychemagik,"Doorly, Cosby",2014,Saturday May 17,10:00 PM,"			 $10.00       ",
The Weeks & Apache Relay,Shelly Colvin,2014,Saturday May 17,7:00 PM,"			 $15       ",
Andhim,DJ Lisa Frank,2014,Friday May 16,11:00 PM,"			 $12.00       ",
Hoodie Allen,Down With Webster,2014,Friday May 16,7:00 PM,"			 $30       ",
"Compa, Asylum and Kursk",Deep Sessions Crew w/ MC Twisty,2014,Thursday May 15,10:00 PM,"			 $15.00       ",
Chet Faker,Sweater Beats,2014,Thursday May 15,7:00 PM,"			 $15       ",
Moombahton Massive XXXVII,"Nadastrom, Sabo, BIG MAKK",2014,Wednesday May 14,9:00 PM,"			 $8 - $10       ",
Shlohmo,"Jim E Stack, D33J, Nature Rage",2014,Sunday May 11,9:00 PM,"			 $12.00       ",
Chromeo (DJ Set),DJ Baronhawk,2014,Saturday May 10,10:00 PM,"			 $20.00       ",
TOBACCO,"Stargazer Lillies, New Fumes",2014,Saturday May 10,7:00 PM,"			 $15       ",
Agoria,"AndreÅ« (Andrew Grant), Feroun",2014,Friday May 9,10:00 PM,"			 $10.00       ",
The Haxan Cloak,Worm of The Earth,2014,Friday May 9,7:00 PM,"			 $15       ",
Haerts,X Ambassadors,2014,Thursday May 8,8:00 PM,"			 $12.00       ",
Stu Larsen & Natsuki Kurai,Adam Burrows,2014,Wednesday May 7,7:00 PM,"			 $15       ",
Ghost of a Saber Tooth Tiger (Sean Lennon & Charlotte Kemp Muhl),Jeffrey Lewis,2014,Monday May 5,7:00 PM,"			 $15       ",
We Rock so Girls Rock! A Benefit Show for Girls Rock! DC,"Be'la Dona and Black Alley with Margot MacDonald, The Coolots, G.U.T.S., Jesi Terrell, Jade Jacobs, Miyah Cook, DJ Thai, Poetry by Bathsheba",2014,Sunday May 4,6:00 PM,"			 $20.00       ",
Tensnake,"Ray Casil, Man & Woman",2014,Saturday May 3,10:00 PM,"			 $10.00       ",
Experience Unlimited,"Nappy Riddem, Fort Knox Five (DJ Set), Qdup",2014,Saturday May 3,7:00 PM,,
Walker & Royce,"aLamont, Charles Martin, Jus Nowhere",2014,Friday May 2,10:00 PM,"			 $10.00       ",
Broods,Meg Myers,2014,Friday May 2,7:00 PM,"			 $15       ",
Pegboard Nerds,"RaceCarBed, Massacat, DJALLA",2014,Thursday May 1,10:00 PM,"			 $12-15       ",
Hari Kondabolu,"Hosted by David Tveite, featuring Chelsea Shorte",2014,Thursday May 1,7:00 PM,"			 $15       ",
Lane 8,"Caleb L'Etoile, Bil Todd, Baronhawk, Tommy Cornelis",2014,Wednesday Apr 30,10:00 PM,"			 $10.00       ",
Hari Kondabolu,"Hosted By David Tveite, featuring Elahe Izadi",2014,Wednesday Apr 30,7:00 PM,"			 $15       ",
Jack Beats,"AC Slater, Harry Ransom",2014,Tuesday Apr 29,9:00 PM,"			 $15.00       ",
Survival and Homemade Weapons,"Rogue State b2b Julez, High Tolerance b2b DJ K, MC Concept",2014,Sunday Apr 27,10:00 PM,"			 $8.00       ",
MK at Bliss,"Will Eastman, Jackson Ryland",2014,Saturday Apr 26,10:00 PM,"			 $10.00       ",
Fanfarlo,Lilies On Mars,2014,Saturday Apr 26,7:00 PM,"			 $15       ",
Art Department,Jubilee (DC),2014,Friday Apr 25,10:00 PM,"			 $20.00       ",
CANCELLED - Avey Tare's Slasher Flicks,"Dustin Wong, Geologist (DJ Set)",2014,Friday Apr 25,7:00 PM,"			 $15.00       ",
Factory Floor,"Protect-U (Live), Steven Faith",2014,Thursday Apr 24,9:00 PM,"			 $15.00       ",
Claude VonStroke,"DJ Baronhawk, Vanniety Kills vs. Seany Ranks",2014,Wednesday Apr 23,9:00 PM,"			 $15.00       ",
Baths,"Young Fathers, P. Morris",2014,Tuesday Apr 22,8:00 PM,"			 $15.00       ",
Jungle Joint,"Kyng Of Thievez, Vinyl Fatigue, Lionchyld",2014,Sunday Apr 20,10:00 PM,"			 $5.00       ",
Jacques Greene and Tittsworth,Kozee,2014,Saturday Apr 19,10:00 PM,"			 $10.00       ",
International Soul Society Festival: Urban Arts Festival and Dance Competition,,2014,Saturday Apr 19,2:00 pm  (event ends at 10:00 pm),"			 $20.00       ",
Mark Farina,"Sam Burns, Eau Claire & Philco, meegs, and Urban Artistry presents: The Illest Ingredient - All-Styles Dance Battle",2014,Friday Apr 18,10:00 PM,"			 $15.00       ",
DMC WASHINGTON DC Regional DJ Battle featuring Chris Karns,,2014,Friday Apr 18,6:00 PM,"			 $10.00       ",
Kill Paris & Candyland,Sumner,2014,Thursday Apr 17,10:00 PM,"			 $20.00       ",
MOOMBAHTON MASSIVE XXXVI: MIXPAK 5 YR ANNIV. EDITION,"Nadastrom, Sabo, Dre Skull, Jubilee (NYC)",2014,Wednesday Apr 16,9:00 PM,"			 $8.00 - $10.00       ",
Black Milk with Nat Turner,"Ab, DJ Sober",2014,Tuesday Apr 15,8:00 PM,"			 $20       ",
Singularity + Mutrix,Basscamp,2014,Sunday Apr 13,9:00 PM,"			 $10.00       ",
REV 909: French House/Daft Punk tribute night and Indie Dance classics,"Will Eastman, Ozker, Keenan Orr",2014,Saturday Apr 12,10:00 PM,"			 $10.00       ",
Fred Falke,"Keenan Orr, Ozker",2014,Saturday Apr 12,10:00 PM,"			 CANCELLED       ",
"GoldLink ""The God Complex"" Release Show",LAKIM,2014,Saturday Apr 12,7:00 PM,"			 $15       ",
Flight Facilities (at 9:30 Club),Will Eastman,2014,Friday Apr 11,10:00 PM,"			 $20       ",
Timmy Regisford,"Chris Burns, Andy Grant",2014,Friday Apr 11,10:00 PM,"			 $10.00       ",
The Hood Internet,"Junior Prom, Oscillator Bug",2014,Thursday Apr 10,10:00 PM,"			 $12.00       ",
Shiftee,"The Clown Prince, Julius Jetson",2014,Wednesday Apr 9,10:00 PM,"			 $10.00       ",
CANCELLED - AN21 and Third Party,Zenbi,2014,Sunday Apr 6,10:00 PM,"			 $20.00       ",
Grandmaster Flash,"Jahsonic, DJ DeTroyt",2014,Saturday Apr 5,10:00 PM,"			 $15.00       ",
Mano Le Tough,Lomez,2014,Friday Apr 4,10:00 PM,"			 $12.00       ",
Dean Wareham (of Galaxie 500 accompanied by Britta Phillips of Luna),The Vacant Lots,2014,Friday Apr 4,7:00 PM,"			 $15       ",
HeRobust,"Buzz Trillington, Operation Dankstar, Strike Stone",2014,Thursday Apr 3,10:00 PM,"			 $10-15       ",
Eisley,Merriment,2014,Thursday Apr 3,6:30 PM,"			 $20       ",
UZ,"Obeyah, Keylow",2014,Wednesday Apr 2,10:00 PM,"			 $15.00       ",
Pig Pen Theatre Co.,The Spring Standards,2014,Wednesday Apr 2,6:30 PM,"			 $17       ",
Goldfish,"Drunken Doja Monkey, Mr. Bonkerz",2014,Tuesday Apr 1,9:00 PM,"			 $15.00       ",
Melo-X and Jasmine Solano,"Mista Selecta, Mane Squeeze",2014,Sunday Mar 30,9:00 PM,"			 $8.00       ",
Tiger and Woods + Poolside,Remote Ctrl,2014,Saturday Mar 29,10:30 PM,"			 $15.00       ",
Kerri Chandler (Open-to-close set!),and Urban Artistry presents: The Illest Ingredient - All-Styles Dance Battle,2014,Friday Mar 28,10:00 PM,"			 $15.00       ",
RÃœFÃœS DU SOL,"Man & Woman, Jackson Ryland",2014,Thursday Mar 27,9:00 PM,"			 $15.00       ",
Gui Boratto,"Elekfantz, Chris Nitti",2014,Wednesday Mar 26,9:00 PM,"			 $20.00       ",
Michal Menert,Fort Knox Five (DJ Set),2014,Tuesday Mar 25,9:00 PM,"			 $15.00       ",
Classixx (Live),"Tourist, Sam Burns, Eau Claire & Philco, Brian Billion",2014,Monday Mar 24,9:00 PM,"			 $20.00       ",
"Bass Nation DC feat. The Hospital Records Tour w/ Danny Byrd, Fred V & Grafix, S.P.Y. and RenderOne",RenderOne,2014,Sunday Mar 23,10:00 PM,"			 $20-25       ",
Bliss w/ Dusky,"Midland, Will Eastman",2014,Saturday Mar 22,10:00 PM,"			 $12.00       ",
How To Dress Well & Forest Swords,,2014,Saturday Mar 22,7:00 PM,"			 $15       ",
Magda,"DJ Tennis (Extended Set), Beautiful Swimmers",2014,Friday Mar 21,10:00 PM,"			 $12.00       ",
The Colourist,"Night Terrors of 1927, The Wind and The Wave",2014,Friday Mar 21,6:30 PM,"			 $15       ",
SOLD OUT! Cashmere Cat,"Trippy Turtle, Alex Young",2014,Thursday Mar 20,10:30 PM,"			 $15.00       ",
SOLD OUT! RAC (at 9:30 Club),"Prides, SPEAK",2014,Thursday Mar 20,9:00 PM,"			 $18       ",
Sam Smith,,2014,Thursday Mar 20,7:00 PM,"			 $15       ",
Moombahton Massive XXXV,"Nadastrom, Sabo, Branko (Buraka Som Sistema/Enchufada)",2014,Wednesday Mar 19,9:00 PM,"			 $8.00 - $12.00       ",
Sabina Sciubba Of Brazilian Girls,,2014,Tuesday Mar 18,7:00 PM,"			 $25       ",
Deep Dish,,2014,Sunday Mar 16,10:00 PM,"			 $15.00       ",
Penguin Prison and Cassian,Caleb L'Etoile,2014,Saturday Mar 15,10:00 PM,"			 $10.00       ",
DC Progressive Dinner presents When Irish Eyes Are SMYALing Fundraiser,"Team Peaches DC, DJ Chord Bezerra, Sierra Braxton, SMYAL",2014,Saturday Mar 15,3:00 PM,"			 $20.00       ",
Julio Bashmore,"South London Ordnance, Hugo Zapata",2014,Friday Mar 14,10:00 PM,"			 $12       ",
Story League ALL-STARS: Tournament 7,"Dunces, Nightmares, Debauchery, My Ex",2014,Friday Mar 14,Doors: 7:00 pm / Show: 7:30 pm ,"			 $15.00       ",
BoomBox,Ichisan,2014,Thursday Mar 13,8:00 PM,"			 $17       ",
Drum & Bass Industry Night,"Slant, Harry R4nsom, Brothers Brau, Julez",2014,Wednesday Mar 12,10:00 PM,"			 $5.00       ",
Annie Mac and Cajmere,John Johnson,2014,Tuesday Mar 11,9:00 PM,"			 $15.00       ",
"Eric Hilton (Thievery Corporation/ESL Music), DJ Dredd, Stereo Faith, Keenan Orr",,2014,Saturday Mar 8,10:00 PM,"			 $10.00       ",
Alvin Risk (@ 9:30 Club),,2014,Saturday Mar 8,10:00 PM,"			 $20       ",
The Orwells,"Twin Peaks, Silver Palms",2014,Saturday Mar 8,6:30 PM,"			 $15       ",
Adam Beyer,Tzeech,2014,Friday Mar 7,10:00 PM,"			 $20.00       ",
Bortz,"DJALLA, Sayzar, Saw, Seth Payne, Mike Frost",2014,Thursday Mar 6,10:00 PM,"			 $5-10       ",
Cheatahs,Eternal Summers,2014,Thursday Mar 6,7:00 PM,"			 $15       ",
DJ Hype w/ Armanni Reign,"Deinfamous, RenderOne",2014,Wednesday Mar 5,10:00 PM,"			 $15-20       ",
J. Roddy Walston & The Business,"The So So Glos, Low Cut Connie",2014,Tuesday Mar 4,6:30 PM,"			 Free with RSVP       ",
"Gent and Jawns, Alex Young","Willy Joy, Rex Riot",2014,Saturday Mar 1,10:00 PM,"			 $10.00       ",
GEMS,Uno Hype,2014,Saturday Mar 1,7:00 PM,"			 $15       ",
Four Tet (Live),"Anthony Naples, Joe L.",2014,Friday Feb 28,10:30 PM,"			 $20.00       ",
Greg Laswell,,2014,Friday Feb 28,7:00 PM,"			 $20       ",
Camo & Krooked,"Des McMahon, Phil Discord, Droosie",2014,Thursday Feb 27,10:00 PM,"			 $15.00 - $20.00       ",
Beardyman (Live),Proxxy & Lantern,2014,Wednesday Feb 26,10:00 PM,"			 POSTPONED       ",
Augustines,My Goodness,2014,Wednesday Feb 26,7:00 PM,"			 $15       ",
DC Loves Dilla,"DJ Roddyrod, DJ 2Tone Jones, Jahsonic, DJ Book, Supa Qool DJ Quartermaine, DJ Stylus, DJ Minus Nine, DJ RBI",2014,Sunday Feb 23,9:00 PM,"			 $10.00       ",
"Bliss w/ Justin Jay, Bixel Boys, PillowTalk, option4","Vanniety Kills vs. Seany Ranks, Ozker, Solomon Sanchez",2014,Saturday Feb 22,8:00 PM,"			 $10.00       ",
PillowTalk (Live),Solomon Sanchez,2014,Saturday Feb 22,7:00 PM,"			 $12.00       ",
Deep Sugar DC w/ Ultra NatÃ©,"Lisa Moody, Katie Elder",2014,Friday Feb 21,10:00 PM,"			 $10.00       ",
Digital Mystikz (Mala and Coki),Joe Nice,2014,Thursday Feb 20,10:00 PM,"			 $15.00       ",
"Lionize ""Jetpack Soundtrack"" Record Release Show",DELEGATION,2014,Thursday Feb 20,6:30 PM,"			 $15       ",
Moombahton Massive XXXIV,"Nadastrom, Sabo, ETC!ETC!",2014,Wednesday Feb 19,9:00 PM,"			 $8.00 - $12.00       ",
Pumpkin and Ursula 1000,"Fort Knox Five, All Good Funk Alliance, Soohan",2014,Sunday Feb 16,9:00 PM,"			 $10.00       ",
Scuba,Ryan Smith,2014,Saturday Feb 15,10:00 PM,"			 $10.00       ",
Kodaline,LP,2014,Saturday Feb 15,6:30 PM,"			 $18       ",
Dennis Ferrer,ForQuarters Collective,2014,Friday Feb 14,10:00 PM,"			 $15.00       ",
Gladkill + Sugarpill,The Lothario,2014,Wednesday Feb 12,10:00 PM,"			 $15.00       ",
Holy Ghost! (DJ Set),"Ben Browning (Cut Copy), Caleb L'Etoile",2014,Saturday Feb 8,10:00 PM,"			 $12.00       ",
Lanterns on the Lake,Boxelders,2014,Saturday Feb 8,7:00 PM,"			 $15       ",
Victor Calderone,"Zenbi, Oliver Caine",2014,Friday Feb 7,10:00 PM,"			 $12.00       ",
The Stepkids,Via Audio,2014,Friday Feb 7,7:00 PM,"			 $12       ",
MartyParty & Joker,"NIXSIN, Toy Maka",2014,Thursday Feb 6,10:00 PM,"			 $12 - $15       ",
John Talabot (DJ Set),"Baio, Benoit",2014,Wednesday Feb 5,10:00 PM,"			 $15.00       ",
Yuna,Jarell Perry,2014,Wednesday Feb 5,7:00 PM,"			 $20       ",
The Wild Feathers,"Saints of Valory, Jamestown Revival",2014,Tuesday Feb 4,7:00 PM,"			 $15       ",
Eric Volta & Maher Daniel,"Jubilee, Lxsx Frxnk, Garret B",2014,Monday Feb 3,9:00 PM,"			 $10.00       ",
Ryan Hemsworth,"Lindsay Lowend, Basscamp",2014,Saturday Feb 1,10:00 PM,"			 $10.00       ",
White Ford Bronco,,2014,Saturday Feb 1,7:00 PM,"			 $15       ",
Blond:ish,"Sam Burns, Eau Claire & Philco, Charles Martin",2014,Friday Jan 31,10:00 PM,"			 $10.00       ",
Valentino Khan,"RaceCarBed, The Clown Prince",2014,Thursday Jan 30,10:00 PM,"			 $10.00       ",
Phunk the System 3,"2rip vs. DJ Lantern, DJ Nysus vs. Christian Dope, LJ MTX vs. Bortz, Massacat vs. Nvrsft, Malphunktion vs. DJ Obscure",2014,Wednesday Jan 29,10:00 PM,"			 $10.00       ",
RL Grime,"Salva, LUSH",2014,Sunday Jan 26,9:00 PM,"			 $20.00       ",
BLISS: Blisspop Crew Night,"Will Eastman, Baronhawk, Ozker, Harry Ransom, Caleb L'Etoile, Brian Billion",2014,Saturday Jan 25,10:00 PM,"			 $10.00       ",
DJ Dan + Charles Feelgood,Ken Lazee,2014,Friday Jan 24,10:00 PM,"			 $10.00       ",
Soul Train Anniversary Party,"DJ K Meta, Mr. Bonkerz, DJ Provoke, Trev-ski",2014,Friday Jan 24,6:00 PM,,
The M Machine,,2014,Thursday Jan 23,10:00 PM,"			 $15 - $20       ",
Moombahton Massive XXXIII,"Nadastrom, Sabo, Schlachthofbronx",2014,Wednesday Jan 22,9:00 PM,"			 $12.00       ",
Afrika Bambaataa + DJ MASEO of De La Soul,"Fort Knox Five, DJ Underdog, Qdup",2014,Sunday Jan 19,9:00 PM,"			 $10.00       ",
Viceroy,"Penguin Prison (DJ Set), DJ Remote Ctrl",2014,Saturday Jan 18,10:00 PM,"			 $10.00       ",
Derrick Carter,"T.Williams, Chris Burns",2014,Friday Jan 17,10:00 PM,"			 $12.00       ",
A Great Big World,Secret Someones,2014,Friday Jan 17,7:00 PM,"			 $15       ",
Skream,"Light Year, Juan Zapata",2014,Thursday Jan 16,9:00 PM,"			 $20.00       ",
Branchez,"Different Sleep, Obeyah",2014,Wednesday Jan 15,10:00 PM,"			 $10.00       ",
Caked Up,"DJ Spicoli, Keylow, Gianni Lee",2014,Sunday Jan 12,9:00 PM,"			 $12.00 - $15.00       ",
Rev 909: French House/Daft Punk and Indie Dance Classics,"Will Eastman, Ozker",2014,Saturday Jan 11,10:00 PM,"			 $10.00       ",
Juan MacLean (DJ Set),"Curses!, Cranks",2014,Friday Jan 10,10:00 PM,"			 $10.00       ",
Avan Lava + Bright Light Bright Light,"MIXTAPE DJs (Shea Van Horn + Matt Bailer), Caleb L'Etoile",2014,Thursday Jan 9,9:00 PM,"			 $15.00       ",
Jungle Jam,"Odi, Indidjinous, Render One, J Milly b2b Mindfeed, Strato-G, and special guest MC Jah Rich",2014,Wednesday Jan 8,9:00 PM,"			 $5.00       ",
Good Vibes,"Sam ""The Man"" Burns, DJ Double 07, Ozker",2014,Saturday Jan 4,10:00 PM,"			 $10.00       ",
Dimitri From Paris,"All Good Funk Alliance, Sol Power All Stars",2014,Friday Jan 3,10:00 PM,"			 $10.00       ",
Steve Lawler,Wahi,2014,Thursday Jan 2,10:00 PM,"			 $15.00       ",
New Year's Eve,"Nadastrom, U Hell Halloween party with Gent & Jawns, Jen Lasher",2013,Tuesday Dec 31,9:00 pm  (event ends at 4:00 am),"			 $10.00       ",
RDGLDGRN,"ACME, Nike Nando",2013,Sunday Dec 29,7:00 PM,"			 $15       ",
Eats Everything,"Henry Krinkle, Jacques Renault",2013,Saturday Dec 28,10:00 PM,"			 $12.00       ",
Back in the Day feat. Ani of Deee-Lite,"Tom B., Rob One w/ MC Raff, Buster, Ray Casil",2013,Friday Dec 27,10:00 PM,"			 $10.00       ",
Tittsworth,DJ Yorker,2013,Thursday Dec 26,9:00 PM,"			 $10.00       ",
Glide,,2013,Sunday Dec 22,9:00 PM,,
Future Times Holiday Party,"Bookworms (Live), Protect-U (Live), Beautiful Swimmers (DJ set)",2013,Saturday Dec 21,10:00 PM,"			 $10.00       ",
George Fitzgerald,"Sam Kosh, Funkdamentalist, Jus Nowhere (Silence In Metropolis DJs)",2013,Friday Dec 20,10:00 PM,"			 $10.00       ",
Classixx (DJ Set) & Oliver,DJ Provoke,2013,Thursday Dec 19,10:00 PM,"			 $15.00       ",
Dillon Francis (at 9:30 Club),"Anamanaguchi, Gladiator, Pentamon",2013,Thursday Dec 19,9:00 PM,"			 $28       ",
Moombahton Massive XXXII,"Sabo, Uproot Andy, Geko Jones",2013,Wednesday Dec 18,9:00 PM,"			 $5.00 - $8.00       ",
Baby Loves Disco,,2013,Sunday Dec 15,11:00 AM,"			 $15.00 - $55.00       ",
Benoit & Sergio and Bicep,DJ Nav,2013,Saturday Dec 14,10:00 PM,"			 $10.00       ",
Honor By August,"Sub Standard Radio, Ty Mayfield",2013,Saturday Dec 14,6:30 PM,"			 $15       ",
Flosstradamus (at 9:30 Club),"DJ Spinz, Been Trill",2013,Friday Dec 13,10:00 PM,"			 $25       ",
Matthew Dear (DJ Set),,2013,Friday Dec 13,10:00 PM,"			 $10.00       ",
Ghost Beach (Live) & The Chainsmokers (DJ set),ASTR (live),2013,Thursday Dec 12,10:00 PM,"			 $15.00       ",
Machinedrum: Vapor City Live,"R4NS0M, Encryption",2013,Wednesday Dec 11,10:00 PM,"			 $10.00       ",
Surkin,"Canblaster, The Clown Prince",2013,Sunday Dec 8,9:00 PM,"			 $10.00       ",
Tale Of Us,"Walker & Royce, John Johnson",2013,Saturday Dec 7,10:00 PM,"			 $15.00       ",
Kyle Hall,Jay Simon,2013,Friday Dec 6,10:00 PM,"			 $10.00       ",
"Mellowhigh featuring Hodgy Beats, Domo Genesis, and Left Brain of Odd Future",,2013,Friday Dec 6,7:00 PM,"			 $15       ",
Brillz,"2rip, LJ MTX",2013,Thursday Dec 5,10:00 PM,"			 $15-20       ",
Marco Benevento,,2013,Thursday Dec 5,6:30 PM,"			 $15       ",
Author (Live) & DJ MADD,"Numbernin6, Joe Nice, Deep Sessions Crew",2013,Wednesday Dec 4,10:00 PM,"			 $15.00       ",
Jagwar Ma,Fascinator,2013,Wednesday Dec 4,7:00 PM,"			 $15       ",
Total Science,"High Tolerance b2b DJ K, Julez b2b Rogue State, Locks, Jungle Jessi, MC Concept",2013,Sunday Dec 1,9:00 PM,"			 $10.00       ",
Ryan Crosson,"Jubilee, Sami Y",2013,Saturday Nov 30,10:00 PM,"			 $10.00       ",
Foxes,,2013,Saturday Nov 30,7:00 PM,"			 $20       ",
Animal Collective (DJ Set),Stereo Faith,2013,Friday Nov 29,10:00 PM,"			 $10.00       ",
Daley,Travis McClung,2013,Friday Nov 29,7:00 PM,"			 $15       ",
Drumstix,"DJ Shortee, Freaky Flow, Q-Bik, Q-Bik, Kyng Of Thievez, DJ Throdown, DJ Don Vega, Deinfamous",2013,Wednesday Nov 27,9:00 PM,"			 $15.00       ",
Thundercat,Beautiful Swimmers,2013,Tuesday Nov 26,9:30 PM,"			 $12.00       ",
Red Baraat,Smoota,2013,Sunday Nov 24,7:00 PM,"			 $20       ",
Baby Loves Disco,,2013,Sunday Nov 24,11:00 am  (event ends at 1:30 pm),"			 $15.00 - $55.00       ",
Baauer & AraabMUZIK (@ 9:30 Club),S-Type,2013,Saturday Nov 23,11:00 PM,"			 $25       ",
BLISS,"Will Eastman, Ozker, Baronhawk",2013,Saturday Nov 23,10:00 PM,"			 $10.00       ",
Soul Clap,Navbox,2013,Friday Nov 22,10:00 PM,"			 $12.00       ",
"Baauer, Araabmuzik",S-Type,2013,Friday Nov 22,6:30 PM,"			 $18.00 - $25.00       ",
Azari & III (DJ Set),"Chris Nitti, Philip Goyette",2013,Thursday Nov 21,9:00 PM,"			 $15.00       ",
Moombahton Massive XXXI,"Nadastrom, Sabo, Kid Cedek",2013,Wednesday Nov 20,10:00 PM,"			 $12.00       ",
"Story League Tournament 6: Lies, Lies, Lies","Brandon Wardell, Linda Holmes, David Crabb, Tony Woods",2013,Wednesday Nov 20,7:30 PM,"			 $14.00       ",
Rudess Morgenstein Project,,2013,Tuesday Nov 19,7:00 PM,"			 $25       ",
Marc Houle (Live),"Outputmessage (DJ Set), Oliver Caine",2013,Saturday Nov 16,10:00 PM,"			 $12.00       ",
Charli XCX,"Kitten, Liz",2013,Saturday Nov 16,6:00 PM,"			 $20       ",
Catz 'n Dogz,Charles Martin,2013,Friday Nov 15,10:00 PM,"			 $15.00       ",
Jon Hopkins & Clark,Nathan Fake,2013,Friday Nov 15,6:00 PM,"			 $15.00       ",
Alex Winston & GEMS (Live),WET,2013,Thursday Nov 14,9:30 PM,"			 $12.00       ",
Nightmares on Wax (Cancelled),Ozker,2013,Thursday Nov 14,7:00 PM,"			 $20       ",
Claude VonStroke & J. Phlip,Ken Lazee,2013,Wednesday Nov 13,10:00 PM,"			 $15.00       ",
Alex Young,"Brenton Duvall, Royal",2013,Tuesday Nov 12,10:00 PM,"			 $12.00       ",
Flamin Groovies,The Young Sinclairs,2013,Tuesday Nov 12,7:00 PM,"			 $25       ",
Worn Magazine Raw Issue Launch Party,"Kelow, Kali Uchis, Beyond Modern, DDM, Hassani Kwess, Ras Nebyu",2013,Monday Nov 11,7:00 PM,"			 $10.00       ",
"Triple Threat: Wayna & Wes Felton Release Concerts, hosted by Asheru",,2013,Sunday Nov 10,7:00 PM,"			 $10.00 - $20.00       ",
UNER,"Jubilee, Raffi",2013,Saturday Nov 9,10:00 PM,"			 $10.00       ",
Tensnake,"Maribou State, DJ Provoke",2013,Friday Nov 8,10:00 PM,"			 $12.00       ",
Hiatus Kaiyote,Thomas Blondet,2013,Friday Nov 8,7:30 PM,"			 $20.00       ",
Dieselboy,"Rad, Level-One",2013,Thursday Nov 7,10:00 PM,"			 $10-23       ",
The Magician,Caleb L'Etoile,2013,Wednesday Nov 6,10:00 PM,"			 $12.00       ",
RUDIMENTAL,Stereo Faith,2013,Tuesday Nov 5,10:00 PM,"			 $15.00       ",
M.I.A. Matangi Listening Party,,2013,Monday Nov 4,8:00 PM,"			 $5.00       ",
Albert Hammond Jr.,Nightbox,2013,Sunday Nov 3,7:00 PM,"			 $25       ",
Stefano Noferini,"Christian Martin, Jackson",2013,Saturday Nov 2,10:00 PM,"			 $10.00       ",
The Fratellis,The Ceremonies,2013,Saturday Nov 2,6:30 PM,"			 $16       ",
Steffi,"Virginia, AndreÅ« (Andrew Grant)",2013,Friday Nov 1,10:00 PM,"			 $10.00       ",
U HELL: Ghoul's Night Out,"U Hell Halloween party with Gent & Jawns, Obeyah, Hyx & Houston, Rex Riot, Teszero",2013,Thursday Oct 31,9:00 PM,"			 $10.00       ",
KONKRETE JUNGLE DC,,2013,Wednesday Oct 30,10:00 PM,"			 $5.00       ",
"Southern Culture on the Skids, Los Straitjackets & The Fleshtones",,2013,Tuesday Oct 29,7:00 PM,"			 $25       ",
Disclosure (@ 9:30 Club),T.Williams,2013,Monday Oct 28,8:00 PM,"			 $30       ",
How To Dress Well,,2013,Monday Oct 28,7:00 PM,"			 $15       ",
Noisia,"Des McMahon, Deinfamous, C-Level",2013,Sunday Oct 27,10:00 PM,"			 $20-25       ",
Baby Loves Disco,,2013,Sunday Oct 27,11:00 AM,"			 $15.00 - $55.00       ",
Nina Kraviz,"Lomez, Marko Peli",2013,Saturday Oct 26,10:00 PM,"			 $10.00       ",
Tony Humphries,"Farid, Smudge",2013,Friday Oct 25,10:00 PM,"			 $10.00       ",
Tribal Seeds,"Fortunate Youth, Hirie",2013,Friday Oct 25,6:00 PM,"			 $15       ",
Steve Aoki (@ Merriweather Post Pavilion),"Pharrell Williams, Waka Flocka, Borgore, Garmiani",2013,Friday Oct 25,4:00 PM,"			 $18-125       ",
Tourist,William DeVon,2013,Thursday Oct 24,11:00 PM,"			 $10.00       ",
of Montreal,Surface to Air Missive,2013,Thursday Oct 24,6:00 PM,"			 $25       ",
Ryan Hemsworth & Cyril Hahn,R4NS0M,2013,Wednesday Oct 23,11:00 PM,"			 $10.00       ",
of Montreal,Surface to Air Missive,2013,Wednesday Oct 23,6:00 PM,"			 $25       ",
Wild Belle,Saint Rich,2013,Tuesday Oct 22,7:00 PM,"			 $15       ",
Klute & Trace,"Brothers Brau, High Tolerance B2B K, MC Concept",2013,Sunday Oct 20,10:00 PM,"			 $10.00       ",
LOST & SOUND,"Will Eastman, Lxsx Frxnk vs. Chris Nitti, aLamont, The Elders",2013,Saturday Oct 19,10:00 PM,"			 $10.00       ",
Example (Cancelled),,2013,Saturday Oct 19,7:00 PM,"			 $15       ",
Orchard Lounge,Mr. Bonkerz,2013,Friday Oct 18,10:00 PM,"			 $10.00       ",
Half Moon Run,MisterWives,2013,Friday Oct 18,7:00 PM,"			 $15       ",
